Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
361,821041;361,915229;0,094188;;0,092613;0,001575;-0,091038
361,915229;361,916804;0,001575;;0,001494;8,1E-05;-0,001413
361,916804;361,916885;0,000081;;-0,000200;0,000281;0,000481
361,916885;361,917166;0,000281;;-0,120938;0,121219;0,242157
361,917166;362,038385;0,121219;;0,120571;0,000648;-0,119923
362,038385;362,039033;0,000648;;0,000566;8,2E-05;-0,000484
362,039033;362,039115;0,000082;;-0,021127;0,021209;0,042336
362,039115;362,060324;0,021209;;0,021156;5,3E-05;-0,021103
362,060324;362,060377;0,000053;;-0,017790;0,017843;0,035633
362,060377;362,078220;0,017843;;0,017749;9,4E-05;-0,017655
362,078220;362,078314;0,000094;;-0,000249;0,000343;0,000592
362,078314;362,078657;0,000343;;-0,012454;0,012797;0,025251
362,078657;362,091454;0,012797;;0,012632;0,000165;-0,012467
362,091454;362,091619;0,000165;;-0,113671;0,113836;0,227507
362,091619;362,205455;0,113836;;0,113692;0,000144;-0,113548
362,205455;362,205599;0,000144;;-0,019881;0,020025;0,039906
362,205599;362,225624;0,020025;;0,011030;0,008995;-0,002035
362,225624;362,234619;0,008995;;0,008915;8E-05;-0,008835
362,234619;362,234699;0,000080;;-0,001566;0,001646;0,003212
362,234699;362,236345;0,001646;;0,001249;0,000397;-0,000852
362,236345;362,236742;0,000397;;0,000165;0,000232;0,000067
362,236742;362,236974;0,000232;;0,000077;0,000155;0,000078
362,236974;362,237129;0,000155;;-0,002207;0,002362;0,004569
362,237129;362,239491;0,002362;;0,002215;0,000147;-0,002068
362,239491;362,239638;0,000147;;-0,008416;0,008563;0,016979
362,239638;362,248201;0,008563;;0,008504;5,9E-05;-0,008445
362,248201;362,248260;0,000059;;-0,105125;0,105184;0,210309
362,248260;362,353444;0,105184;;0,105120;6,4E-05;-0,105056
362,353444;362,353508;0,000064;;-0,000511;0,000575;0,001086
362,353508;362,354083;0,000575;;-0,048522;0,049097;0,097619
362,354083;362,403180;0,049097;;0,049011;8,6E-05;-0,048925
362,403180;362,403266;0,000086;;-0,000014;0,0001;0,000114
362,403266;362,403366;0,000100;;0,000067;3,3E-05;-0,000034
362,403366;362,403399;0,000033;;-0,000012;4,5E-05;0,000057
362,403399;362,403444;0,000045;;-0,000662;0,000707;0,001369
362,403444;362,404151;0,000707;;-0,000520;0,001227;0,001747
362,404151;362,405378;0,001227;;-0,029349;0,030576;0,059925
362,405378;362,435954;0,030576;;0,030506;7E-05;-0,030436
362,435954;362,436024;0,000070;;-0,079902;0,079972;0,159874
362,436024;362,515996;0,079972;;0,053786;0,026186;-0,027600
362,515996;362,542182;0,026186;;0,010999;0,015187;0,004188
